"No"|"Time"|"Interval"|"InTemp"|"InHumi"|"OutTemp"|"OutHumi"|"RelPressure"|"AbsPressure"|"Wind"|"Gust"|"WindDirection"|"DewPoint"|"WindChill"|"RainHour"|"Rain24H"|"RainWeek"|"RainMonth"|"RainTotal"|"day"
"1"|1|2017-06-13 13:07:55|"30"|"25.4"|"50"|"25.2"|"50"|"1013"|"978.8"|"0"|"0"|" NW"|"14.1"|"25.2"|"0"|"0"|"0"|"0"|"0"|2017-06-13
"2"|2|2017-06-13 13:37:55|"30"|"32.1"|"30"|"35.5"|"21"|"1012.7"|"978.5"|"5"|"7.2"|" N"|"9.9"|"35.5"|"0.6"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"3"|3|2017-06-13 14:07:55|"30"|"28"|"39"|"36"|"21"|"1012.7"|"978.5"|"5"|"7.2"|" N"|"10.3"|"36"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"4"|4|2017-06-13 14:37:55|"30"|"26.6"|"43"|"36.9"|"20"|"1012.6"|"978.4"|"6.1"|"9.7"|" SSE"|"10.3"|"36.9"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"5"|5|2017-06-13 15:07:55|"30"|"26.5"|"46"|"37.3"|"20"|"1012.5"|"978.3"|"5"|"8.6"|" SE"|"10.6"|"37.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"6"|6|2017-06-13 15:12:55|"5"|"26.6"|"46"|"37.2"|"20"|"1012.3"|"978.1"|"5"|"7.2"|" W"|"10.5"|"37.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"7"|7|2017-06-13 15:17:55|"5"|"26.5"|"46"|"36.9"|"20"|"1012.4"|"978.2"|"2.5"|"5"|" SE"|"10.3"|"36.9"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"8"|8|2017-06-13 15:22:55|"5"|"26.4"|"47"|"37"|"20"|"1012.5"|"978.3"|"6.1"|"8.6"|" W"|"10.4"|"37"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"9"|9|2017-06-13 15:24:53|"5"|"26.4"|"47"|"37.4"|"20"|"1012.4"|"978.2"|"1.1"|"3.6"|" E"|"10.7"|"37.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"10"|10|2017-06-13 15:29:53|"5"|"26.4"|"47"|"37.8"|"20"|"1012.2"|"978"|"5"|"7.2"|" NE"|"11"|"37.8"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"11"|11|2017-06-13 15:34:53|"5"|"26.4"|"47"|"37.6"|"20"|"1012.3"|"978.1"|"2.5"|"5"|" E"|"10.9"|"37.6"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"12"|12|2017-06-13 15:39:53|"5"|"25.6"|"49"|"37.3"|"20"|"1012.3"|"978.1"|"3.6"|"8.6"|" WSW"|"10.6"|"37.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"13"|13|2017-06-13 15:44:53|"5"|"25.6"|"49"|"37.3"|"20"|"1012.3"|"978.1"|"3.6"|"6.1"|" W"|"10.6"|"37.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"14"|14|2017-06-13 15:49:53|"5"|"25.6"|"49"|"37.1"|"20"|"1012.2"|"978"|"5"|"9.7"|" E"|"10.5"|"37.1"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"15"|15|2017-06-13 15:54:53|"5"|"25.6"|"49"|"37.2"|"20"|"1012.3"|"978.1"|"2.5"|"3.6"|" S"|"10.5"|"37.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"16"|16|2017-06-13 15:59:53|"5"|"25.6"|"49"|"37.3"|"20"|"1012.2"|"978"|"2.5"|"5"|" N"|"10.6"|"37.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"17"|17|2017-06-13 16:04:53|"5"|"25.6"|"50"|"37.3"|"20"|"1012.2"|"978"|"2.5"|"5"|" NE"|"10.6"|"37.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"18"|18|2017-06-13 16:09:53|"5"|"25.6"|"50"|"37"|"20"|"1012"|"977.8"|"5"|"7.2"|" S"|"10.4"|"37"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"19"|19|2017-06-13 16:14:53|"5"|"25.5"|"50"|"37.2"|"20"|"1012.1"|"977.9"|"2.5"|"5"|" NE"|"10.5"|"37.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"20"|20|2017-06-13 16:19:53|"5"|"25.5"|"50"|"37.2"|"20"|"1012.2"|"978"|"5"|"7.2"|" N"|"10.5"|"37.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"21"|21|2017-06-13 16:24:53|"5"|"25.5"|"50"|"37.1"|"20"|"1012.1"|"977.9"|"5"|"6.1"|" NW"|"10.5"|"37.1"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"22"|22|2017-06-13 16:29:53|"5"|"25.5"|"50"|"36.7"|"20"|"1012.1"|"977.9"|"6.1"|"9.7"|" S"|"10.1"|"36.7"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"23"|23|2017-06-13 16:34:53|"5"|"25.5"|"50"|"36.8"|"20"|"1012.1"|"977.9"|"3.6"|"5"|" E"|"10.2"|"36.8"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"24"|24|2017-06-13 16:39:53|"5"|"25.5"|"50"|"36.5"|"20"|"1012"|"977.8"|"5"|"7.2"|" NW"|"10"|"36.5"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"25"|25|2017-06-13 16:44:53|"5"|"25.5"|"50"|"36.5"|"20"|"1012.1"|"977.9"|"6.1"|"9.7"|" S"|"10"|"36.5"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"26"|26|2017-06-13 16:49:53|"5"|"25.5"|"50"|"36.4"|"11"|"1012"|"977.8"|"5"|"7.2"|" S"|"1.3"|"36.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"27"|27|2017-06-13 16:54:53|"5"|"25.5"|"50"|"36.5"|"11"|"1011.9"|"977.7"|"5"|"6.1"|" SE"|"1.3"|"36.5"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"28"|28|2017-06-13 16:59:53|"5"|"25.5"|"50"|"36.4"|"12"|"1011.8"|"977.6"|"6.1"|"7.2"|" E"|"2.5"|"36.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"29"|29|2017-06-13 17:04:53|"5"|"25.5"|"50"|"36.4"|"12"|"1011.9"|"977.7"|"3.6"|"5"|" SE"|"2.5"|"36.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"30"|30|2017-06-13 17:09:53|"5"|"25.5"|"50"|"36.5"|"12"|"1011.8"|"977.6"|"3.6"|"5"|" NE"|"2.6"|"36.5"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"31"|31|2017-06-13 17:14:53|"5"|"25.5"|"50"|"36.6"|"13"|"1011.9"|"977.7"|"3.6"|"5"|" NW"|"3.8"|"36.6"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"32"|32|2017-06-13 17:19:53|"5"|"25.5"|"50"|"36.3"|"14"|"1011.8"|"977.6"|"6.1"|"7.2"|" W"|"4.6"|"36.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"33"|33|2017-06-13 17:24:53|"5"|"25.5"|"50"|"36.3"|"14"|"1011.9"|"977.7"|"3.6"|"6.1"|" E"|"4.6"|"36.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"34"|34|2017-06-13 17:29:53|"5"|"25.5"|"50"|"36.6"|"14"|"1011.9"|"977.7"|"5"|"8.6"|" S"|"4.8"|"36.6"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"35"|35|2017-06-13 17:34:53|"5"|"25.5"|"50"|"36.5"|"14"|"1012"|"977.8"|"3.6"|"8.6"|" E"|"4.7"|"36.5"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"36"|36|2017-06-13 17:39:53|"5"|"25.5"|"50"|"36.4"|"15"|"1011.9"|"977.7"|"7.2"|"12.2"|" W"|"5.7"|"36.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"37"|37|2017-06-13 17:44:53|"5"|"25.5"|"50"|"36.2"|"15"|"1011.9"|"977.7"|"7.2"|"11.2"|" E"|"5.5"|"36.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"38"|38|2017-06-13 17:49:53|"5"|"25.5"|"50"|"36.2"|"14"|"1011.8"|"977.6"|"3.6"|"6.1"|" W"|"4.5"|"36.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"39"|39|2017-06-13 17:54:53|"5"|"25.5"|"50"|"36.3"|"15"|"1011.8"|"977.6"|"5"|"7.2"|" ENE"|"5.6"|"36.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"40"|40|2017-06-13 17:59:53|"5"|"25.5"|"50"|"36.2"|"14"|"1011.8"|"977.6"|"3.6"|"5"|" N"|"4.5"|"36.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"41"|41|2017-06-13 18:04:53|"5"|"25.5"|"51"|"36.2"|"14"|"1011.8"|"977.6"|"3.6"|"7.2"|" SE"|"4.5"|"36.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"42"|42|2017-06-13 18:09:53|"5"|"25.5"|"51"|"35.9"|"13"|"1011.8"|"977.6"|"5"|"8.6"|" SW"|"3.2"|"35.9"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"43"|43|2017-06-13 18:14:53|"5"|"25.5"|"51"|"36"|"13"|"1011.8"|"977.6"|"6.1"|"8.6"|" SW"|"3.3"|"36"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"44"|44|2017-06-13 18:19:53|"5"|"25.5"|"51"|"35.8"|"13"|"1011.9"|"977.7"|"7.2"|"11.2"|" SSW"|"3.1"|"35.8"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"45"|45|2017-06-13 18:24:53|"5"|"25.5"|"51"|"35.4"|"13"|"1011.8"|"977.6"|"6.1"|"7.2"|" N"|"2.8"|"35.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"46"|46|2017-06-13 18:29:53|"5"|"25.5"|"51"|"35.4"|"13"|"1011.8"|"977.6"|"6.1"|"8.6"|" NE"|"2.8"|"35.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"47"|47|2017-06-13 18:34:53|"5"|"25.5"|"51"|"35.5"|"13"|"1011.7"|"977.5"|"5"|"7.2"|" SSW"|"2.9"|"35.5"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"48"|48|2017-06-13 18:39:53|"5"|"25.5"|"51"|"35.3"|"13"|"1011.7"|"977.5"|"5"|"7.2"|" SW"|"2.8"|"35.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"49"|49|2017-06-13 18:44:53|"5"|"25.5"|"50"|"35.2"|"13"|"1011.6"|"977.4"|"5"|"7.2"|" NW"|"2.7"|"35.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"50"|50|2017-06-13 18:49:53|"5"|"25.5"|"50"|"35.2"|"13"|"1011.6"|"977.4"|"2.5"|"3.6"|" N"|"2.7"|"35.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"51"|51|2017-06-13 18:54:53|"5"|"25.5"|"50"|"35.1"|"13"|"1011.8"|"977.6"|"1.1"|"5"|" SE"|"2.6"|"35.1"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"52"|52|2017-06-13 18:59:53|"5"|"25.5"|"50"|"34.5"|"13"|"1011.6"|"977.4"|"3.6"|"7.2"|" E"|"2.1"|"34.5"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"53"|53|2017-06-13 19:04:53|"5"|"25.5"|"50"|"33.7"|"12"|"1011.8"|"977.6"|"5"|"7.2"|" E"|"0.4"|"33.7"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"54"|54|2017-06-13 19:09:53|"5"|"25.5"|"50"|"33.4"|"12"|"1011.7"|"977.5"|"6.1"|"9.7"|" SW"|"0.2"|"33.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"55"|55|2017-06-13 19:14:53|"5"|"25.5"|"50"|"33"|"12"|"1011.6"|"977.4"|"5"|"8.6"|" S"|"-0.1"|"33"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"56"|56|2017-06-13 19:19:53|"5"|"25.5"|"50"|"32.8"|"11"|"1011.7"|"977.5"|"2.5"|"5"|" N"|"-1.5"|"32.8"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"57"|57|2017-06-13 19:24:53|"5"|"25.5"|"50"|"32.7"|"11"|"1011.8"|"977.6"|"1.1"|"3.6"|" S"|"-1.6"|"32.7"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"58"|58|2017-06-13 19:29:53|"5"|"25.5"|"50"|"32.5"|"20"|"1011.7"|"977.5"|"3.6"|"6.1"|" N"|"6.7"|"32.5"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"59"|59|2017-06-13 19:34:53|"5"|"25.5"|"50"|"32.3"|"20"|"1011.7"|"977.5"|"3.6"|"8.6"|" NE"|"6.5"|"32.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"60"|60|2017-06-13 19:39:53|"5"|"25.5"|"50"|"32.2"|"20"|"1011.8"|"977.6"|"2.5"|"3.6"|" N"|"6.4"|"32.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"61"|61|2017-06-13 19:44:53|"5"|"25.5"|"50"|"32"|"20"|"1011.8"|"977.6"|"2.5"|"5"|" S"|"6.3"|"32"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"62"|62|2017-06-13 19:49:53|"5"|"25.5"|"50"|"31.6"|"21"|"1011.8"|"977.6"|"3.6"|"6.1"|" S"|"6.7"|"31.6"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"63"|63|2017-06-13 19:54:53|"5"|"25.5"|"50"|"31.3"|"21"|"1012"|"977.8"|"2.5"|"3.6"|" N"|"6.4"|"31.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"64"|64|2017-06-13 19:59:53|"5"|"25.5"|"50"|"31.1"|"21"|"1011.8"|"977.6"|"5"|"6.1"|" S"|"6.2"|"31.1"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"65"|65|2017-06-13 20:04:53|"5"|"25.5"|"50"|"31.1"|"21"|"1011.8"|"977.6"|"3.6"|"6.1"|" ENE"|"6.2"|"31.1"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"66"|66|2017-06-13 20:09:53|"5"|"25.5"|"49"|"30.7"|"22"|"1011.9"|"977.7"|"2.5"|"3.6"|" E"|"6.6"|"30.7"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"67"|67|2017-06-13 20:14:53|"5"|"26.3"|"44"|"30.4"|"22"|"1011.8"|"977.6"|"2.5"|"3.6"|" N"|"6.3"|"30.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"68"|68|2017-06-13 20:19:53|"5"|"26.3"|"41"|"30.3"|"23"|"1012"|"977.8"|"3.6"|"6.1"|" SE"|"6.9"|"30.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"69"|69|2017-06-13 20:24:53|"5"|"26.3"|"40"|"30.2"|"23"|"1012"|"977.8"|"1.1"|"2.5"|" NNW"|"6.8"|"30.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"70"|70|2017-06-13 20:29:53|"5"|"26.3"|"40"|"29.9"|"24"|"1012.1"|"977.9"|"1.1"|"3.6"|" SE"|"7.2"|"29.9"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"71"|71|2017-06-13 20:34:53|"5"|"26.3"|"40"|"29.7"|"25"|"1012.1"|"977.9"|"3.6"|"5"|" SE"|"7.6"|"29.7"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"72"|72|2017-06-13 20:39:53|"5"|"26.3"|"39"|"29.4"|"26"|"1012"|"977.8"|"2.5"|"5"|" SW"|"7.9"|"29.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"73"|73|2017-06-13 20:44:53|"5"|"26.3"|"39"|"29.2"|"26"|"1012.2"|"978"|"0"|"1.1"|" S"|"7.8"|"29.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"74"|74|2017-06-13 20:49:53|"5"|"26.3"|"39"|"29"|"27"|"1012.2"|"978"|"1.1"|"3.6"|" NE"|"8.1"|"29"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"75"|75|2017-06-13 20:54:53|"5"|"26.3"|"40"|"28.9"|"28"|"1012.1"|"977.9"|"0"|"1.1"|" SE"|"8.6"|"28.9"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"76"|76|2017-06-13 20:59:53|"5"|"26.3"|"41"|"28.6"|"30"|"1012.3"|"978.1"|"2.5"|"3.6"|" S"|"9.4"|"28.6"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"77"|77|2017-06-13 21:04:53|"5"|"26.3"|"41"|"28.3"|"30"|"1012.2"|"978"|"2.5"|"3.6"|" E"|"9.1"|"28.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"78"|78|2017-06-13 21:09:53|"5"|"26.3"|"41"|"28"|"30"|"1012.2"|"978"|"1.1"|"2.5"|" E"|"8.8"|"28"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"79"|79|2017-06-13 21:14:53|"5"|"26.3"|"41"|"27.8"|"31"|"1012.3"|"978.1"|"0"|"2.5"|" SW"|"9.2"|"27.8"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"80"|80|2017-06-13 21:19:53|"5"|"26.3"|"41"|"27.6"|"31"|"1012.2"|"978"|"1.1"|"2.5"|" NE"|"9"|"27.6"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"81"|81|2017-06-13 21:24:53|"5"|"26.3"|"41"|"27.5"|"32"|"1012.2"|"978"|"1.1"|"2.5"|" NW"|"9.4"|"27.5"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"82"|82|2017-06-13 21:29:53|"5"|"26.3"|"41"|"27.4"|"36"|"1012.1"|"977.9"|"0"|"1.1"|" NE"|"11"|"27.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"83"|83|2017-06-13 21:34:53|"5"|"26.3"|"41"|"27.2"|"37"|"1012.2"|"978"|"1.1"|"2.5"|" NW"|"11.3"|"27.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"84"|84|2017-06-13 21:39:53|"5"|"26.3"|"42"|"27.1"|"40"|"1012.3"|"978.1"|"1.1"|"2.5"|" W"|"12.4"|"27.1"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"85"|85|2017-06-13 21:44:53|"5"|"26.3"|"42"|"27"|"40"|"1012.2"|"978"|"3.6"|"6.1"|" NW"|"12.3"|"27"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"86"|86|2017-06-13 21:49:53|"5"|"26.3"|"42"|"26.7"|"40"|"1012.3"|"978.1"|"0"|"2.5"|" E"|"12"|"26.7"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"87"|87|2017-06-13 21:54:53|"5"|"26.3"|"42"|"26.6"|"41"|"1012.3"|"978.1"|"1.1"|"2.5"|" S"|"12.3"|"26.6"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"88"|88|2017-06-13 21:59:53|"5"|"26.3"|"42"|"26.4"|"41"|"1012.4"|"978.2"|"1.1"|"2.5"|" S"|"12.1"|"26.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"89"|89|2017-06-13 22:04:53|"5"|"26.3"|"42"|"26.3"|"41"|"1012.5"|"978.3"|"0"|"1.1"|" E"|"12"|"26.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"90"|90|2017-06-13 22:09:53|"5"|"26.3"|"42"|"26.1"|"42"|"1012.6"|"978.4"|"0"|"1.1"|" E"|"12.2"|"26.1"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"91"|91|2017-06-13 22:14:53|"5"|"26.3"|"42"|"25.9"|"43"|"1012.5"|"978.3"|"1.1"|"2.5"|" S"|"12.4"|"25.9"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"92"|92|2017-06-13 22:19:53|"5"|"26.3"|"42"|"25.8"|"43"|"1012.6"|"978.4"|"1.1"|"2.5"|" S"|"12.3"|"25.8"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"93"|93|2017-06-13 22:24:53|"5"|"26.3"|"42"|"25.6"|"44"|"1012.6"|"978.4"|"1.1"|"2.5"|" E"|"12.5"|"25.6"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"94"|94|2017-06-13 22:29:53|"5"|"26.5"|"44"|"25.5"|"43"|"1012.8"|"978.6"|"2.5"|"5"|" S"|"12"|"25.5"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"95"|95|2017-06-13 22:34:53|"5"|"26.5"|"43"|"25.2"|"42"|"1012.8"|"978.6"|"0"|"1.1"|" S"|"11.4"|"25.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"96"|96|2017-06-13 22:39:53|"5"|"26.5"|"43"|"25"|"42"|"1012.9"|"978.7"|"0"|"1.1"|" S"|"11.2"|"25"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"97"|97|2017-06-13 22:44:53|"5"|"26.5"|"42"|"24.9"|"41"|"1012.9"|"978.7"|"0"|"1.1"|" E"|"10.8"|"24.9"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"98"|98|2017-06-13 22:49:53|"5"|"26.6"|"42"|"24.7"|"41"|"1013"|"978.8"|"1.1"|"3.6"|" S"|"10.6"|"24.7"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"99"|99|2017-06-13 22:54:53|"5"|"26.6"|"41"|"24.6"|"41"|"1013"|"978.8"|"0"|"0"|" S"|"10.5"|"24.6"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"100"|100|2017-06-13 22:59:53|"5"|"26.7"|"40"|"24.5"|"41"|"1013.2"|"979"|"0"|"1.1"|" W"|"10.4"|"24.5"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"101"|101|2017-06-13 23:04:53|"5"|"26.8"|"40"|"24.3"|"41"|"1013.1"|"978.9"|"1.1"|"2.5"|" S"|"10.2"|"24.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"102"|102|2017-06-13 23:09:53|"5"|"26.8"|"40"|"24.2"|"41"|"1013.2"|"979"|"0"|"1.1"|" S"|"10.1"|"24.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"103"|103|2017-06-13 23:14:53|"5"|"26.9"|"40"|"24"|"41"|"1013.2"|"979"|"1.1"|"2.5"|" S"|"10"|"24"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"104"|104|2017-06-13 23:19:53|"5"|"27"|"38"|"23.8"|"42"|"1013.3"|"979.1"|"0"|"0"|" S"|"10.1"|"23.8"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"105"|105|2017-06-13 23:24:53|"5"|"27"|"38"|"23.8"|"42"|"1013.3"|"979.1"|"0"|"1.1"|" SE"|"10.1"|"23.8"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"106"|106|2017-06-13 23:29:53|"5"|"27"|"38"|"23.7"|"42"|"1013.4"|"979.2"|"0"|"0"|" S"|"10.1"|"23.7"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"107"|107|2017-06-13 23:34:53|"5"|"26.9"|"39"|"23.6"|"42"|"1013.5"|"979.3"|"0"|"1.1"|" N"|"10"|"23.6"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"108"|108|2017-06-13 23:39:53|"5"|"26.9"|"39"|"23.1"|"42"|"1013.5"|"979.3"|"3.6"|"5"|" N"|"9.5"|"23.1"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"109"|109|2017-06-13 23:44:53|"5"|"26.9"|"38"|"22.9"|"42"|"1013.4"|"979.2"|"1.1"|"3.6"|" N"|"9.3"|"22.9"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"110"|110|2017-06-13 23:49:53|"5"|"26.9"|"38"|"22.8"|"43"|"1013.6"|"979.4"|"2.5"|"5"|" S"|"9.6"|"22.8"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"111"|111|2017-06-13 23:54:53|"5"|"26.9"|"37"|"22.6"|"42"|"1013.6"|"979.4"|"1.1"|"2.5"|" N"|"9.1"|"22.6"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"112"|112|2017-06-13 23:59:53|"5"|"26.9"|"36"|"22.4"|"45"|"1013.6"|"979.4"|"3.6"|"5"|" S"|"9.9"|"22.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"113"|113|2017-06-14 00:04:53|"5"|"26.9"|"35"|"22.3"|"45"|"1013.6"|"979.4"|"1.1"|"2.5"|" SE"|"9.8"|"22.3"|"0"|"0"|"0.6"|"0.6"|"0.6"|2017-06-14
"114"|114|2017-06-14 00:09:53|"5"|"26.7"|"35"|"22"|"46"|"1013.6"|"979.4"|"1.1"|"2.5"|" W"|"9.9"|"22"|"0"|"0"|"0.6"|"0.6"|"0.6"|2017-06-14
"115"|115|2017-06-14 00:14:53|"5"|"26.5"|"36"|"21.8"|"46"|"1013.6"|"979.4"|"0"|"1.1"|" NW"|"9.7"|"21.8"|"0"|"0"|"0.6"|"0.6"|"0.6"|2017-06-14
"116"|116|2017-06-14 00:19:53|"5"|"26.3"|"36"|"21.7"|"47"|"1013.7"|"979.5"|"0"|"1.1"|" N"|"9.9"|"21.7"|"0"|"0"|"0.6"|"0.6"|"0.6"|2017-06-14
"117"|117|2017-06-14 00:24:53|"5"|"26.3"|"36"|"21.7"|"48"|"1013.7"|"979.5"|"1.1"|"2.5"|" NW"|"10.2"|"21.7"|"0"|"0"|"0.6"|"0.6"|"0.6"|2017-06-14
"118"|118|2017-06-14 00:29:53|"5"|"26.2"|"37"|"21.5"|"49"|"1013.7"|"979.5"|"2.5"|"3.6"|" N"|"10.4"|"21.5"|"0"|"0"|"0.6"|"0.6"|"0.6"|2017-06-14
